artist_name	artist_image	spotify_url
A Dancing Beggar	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/728YMd5rIL5FkGaRLNdAv8
A Day to Remember	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4NiJW4q9ichVqL1aUsgGAN
A Dog Called Ego	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/1z4cnhjgSmw4DXQik0GDy9
A Fine Frenzy	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/5dTYaRzOn4rXGBLH052EeQ
A Forest of Stars	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/7CiWvN1gNzwW6eNxTAYhe2
A Formal Horse	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/38EQ4PdxziEDJOpwFHSb5c
A Great Big Pile Of Leaves	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/3bTTtdHi2gxhc8O68LNXXB
A Lily	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/1OugEGrHZi728PHbhwUSUS
A Lot Like Birds	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4tGd3HHlV4RVOdlBc5LAW3
A Notion of Silence	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/5uqrWVP4NzqCkNjSLUCf1Y
A Novelist	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/37dWv08NxXBJrs3fCo5rye
A Perfect Circle	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4DFhHyjvGYa9wxdHUjtDkc
A Place to Bury Strangers	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/3kx1S2P2Qq3a9bG4DGsAjR
A Silver Mt. Zion	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0bRpSBtMd3stO4J6TWclMb
A Stick and a Stone	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/1HnICIhLMb5i1qL7OUpshY
A kew's tag	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/5wy1LFLq3RQv6IuZzDkffW
A$AP Ferg	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/5dHt1vcEm9qb8fCyLcB3HL
A.A. Williams	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/1D0MStnRzJeelcnDjeBo8O
A.A.WILLIAMS	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/1D0MStnRzJeelcnDjeBo8O
A7mad EL Harmy		https://open.spotify.com/artist/4H8dijoZIXjWZczJtV5O5u
A7mad El 3amry		https://open.spotify.com/artist/5abSRg0xN1NV3gLbuvX24M
ABBA	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV
ABYSSIC	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4o6vIkdmHiEXZOesrJj3KO
AC/DC	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un
ADA ROOK	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/1x1MfkVjf8yEzwKhAYZtPY
