album_name	artist_name	release_year	genre	release_type	cover_art_url	spotify_url	mbid	country	release_length	tracks_mb	spotify_id
Do All Words Can Do	Fucked Up	2011.0	Post-Hardcore, Hardcore Punk	Album	https://i.scdn.co/image/ab67616d0000b2739764e424f22958f0b5a0229e	https://open.spotify.com/album/5xTha5DkYQycSFG7BwbOSM	852dec2c-1b69-4476-8972-31f01a550719	XW	27.0	9.0	5xTha5DkYQycSFG7BwbOSM
Do Not Deviate	Replacire	2016.0	Death Metal, Technical Death Metal, Progressive Metal	single	https://i.scdn.co/image/ab67616d0000b273b7186e9c03744692e25812ca	https://open.spotify.com/album/6na5cJWI0pjLhWM3yYO8wf	5fb09b7a-4883-4d71-a605-f71cb960e7b6	FR	38.0	11.0	6na5cJWI0pjLhWM3yYO8wf
Do You Compute	Do You Compute	2023.0	Post-Hardcore, Indie Rock	Single	https://i.scdn.co/image/ab67616d0000b2738d666d1b7db7dcd4ca1c0748	https://open.spotify.com/album/6XlSuoAgeyH3r1mxBXP2Fn	ce19b214-4c9d-417a-aaea-ccc2e5e3b643	US	8.45	2.0	6XlSuoAgeyH3r1mxBXP2Fn
Document #8	Pg.99		Screamo, Emoviolence, Post-Hardcore	Album	https://lastfm.freetls.fastly.net/i/u/300x300/15a1cc097bad4f1e883b058f5e5c7fa1.png		b30deec3-e1f0-419c-aa52-3e8dd50068e3	US	20.0	7.0	
Document #8	Pageninetynine		Screamo, Emoviolence, Post-Hardcore	Album	https://lastfm.freetls.fastly.net/i/u/300x300/4b9e4115a901819bcd0b94d038eb2e8c.jpg	https://open.spotify.com/album/18IfeZtvBhsXgHo6lxGEiI	b30deec3-e1f0-419c-aa52-3e8dd50068e3	US	20.0	7.0	18IfeZtvBhsXgHo6lxGEiI
Document 7	Pg.99		Screamo, Sludge Metal, Sludge Metal, Emoviolence	Album	https://lastfm.freetls.fastly.net/i/u/300x300/8522df598330753a3bf455da1aa56fbb.jpg		869f977e-4fb5-4981-9dc4-b8224468da8c	US	25.0	5.0	
Document 7	Pageninetynine		Screamo, Sludge Metal, Sludge Metal, Emoviolence	Album		https://open.spotify.com/album/4Q3bDknyxtbIxHoWYmwBg9	869f977e-4fb5-4981-9dc4-b8224468da8c	US	25.0	5.0	4Q3bDknyxtbIxHoWYmwBg9
Dodecaedro	Glass Mind	2017.0	Progressive Metal, Progressive Rock, Djent	Album	https://i.scdn.co/image/ab67616d0000b2736fdaad93b7d86cb4c00ee96d	https://open.spotify.com/album/1LGORDyZDtByxhrWclV0qe	a986c24c-93fc-46d0-b0c9-577bff5853c8	XW	39.0	9.0	1LGORDyZDtByxhrWclV0qe
Does This Look Infected?	Sum 41	2002.0	Pop Punk, Skate Punk, Melodic Hardcore, Alternative Rock	album	https://i.scdn.co/image/ab67616d0000b273ab98cfed8b3caf7fd1436562	https://open.spotify.com/album/45JONqhSoPryBCvx8ei9hD	8107cbe9-4f89-481e-840c-b2d00de43198	CA	31.0	24.0	45JONqhSoPryBCvx8ei9hD
Dogsbody	Model/Actriz	2023.0	Noise Rock, Dance-Punk, Industrial Rock, No Wave, Industrial Rock	album	https://i.scdn.co/image/ab67616d0000b273951d686e850cb35eb4a92dd0	https://open.spotify.com/album/1DWLFwBZxTSBWw7G9uhpok	c61f41bc-ef30-4756-a0fd-52a103cde628	XW	37.0	10.0	1DWLFwBZxTSBWw7G9uhpok
Dominion	Zopp	2023.0	Canterbury Scene, Symphonic Prog, Jazz Fusion	album	https://i.scdn.co/image/ab67616d0000b2738455c2ca2fae7fdc4b00eb3d	https://open.spotify.com/album/1YPXSuoH0chAwJ55rLM0AD	5fa7690d-1db0-4a65-84f2-074185e18fa5	XW	41.963566666666665	7.0	1YPXSuoH0chAwJ55rLM0AD
Don't Be Racist	Magnolia Park		Pop Punk	Single	https://lastfm.freetls.fastly.net/i/u/300x300/f9293267b8146131b9b7c19d24fa3176.jpg		41e61493-2ae7-4270-804d-0c7d8d452d09	XW	3.0	1.0	
Don't Look Away	Kate Voegele		Pop Rock, Power Pop	Album	https://lastfm.freetls.fastly.net/i/u/300x300/e23b7b46191f407fa383d03146b235ed.png		11099953-2e47-488f-9e3b-1e90e7c7dd28	DZ	61.0	15.0	
Don't Need You (Edit)	Bullet for My Valentine		Melodic Metalcore, Alternative Metal	EP	https://lastfm.freetls.fastly.net/i/u/300x300/b28ce35651cf6374e57391aac07c5956.jpg		5102c20f-5d81-4aa3-8eeb-460b439805c2	XE	9.0	2.0	
Don't Piss On Me, I'm Already Dead	Crywank		Anti-Folk, Indie Rock, Indie Folk, Singer-Songwriter, Folk Rock	Album	https://lastfm.freetls.fastly.net/i/u/300x300/e4ea1d5274dd5ec6a1932bffe33ae39b.jpg		6efd938c-9042-4eef-9efe-84eda15d0699	XW	28.0	12.0	
Don't Play With Matches - Tabitha's Secret With Rob Thomas, Jay Stanley, Brian Yale, Paul Doucette and John Goff	Tabitha's Secret		Alternative Rock, Pop Rock, Jangle Pop	Album	https://lastfm.freetls.fastly.net/i/u/300x300/0a83bbc1b7f04116c181255b5528f17c.jpg		3862f729-eeec-4030-b53b-47144e1544b1	US	70.0	13.0	
Don't Remember Me For This	Timelost		Shoegaze, Alternative Rock, Noise Rock, Grunge	Album	https://lastfm.freetls.fastly.net/i/u/300x300/27534f88d5b028e3c3c1820e714c6930.jpg		753f26c0-b564-4866-ad34-2dfba6333ea2	XW	37.66266666666667	10.0	
Don't Shoot Me I'm Only The Piano Player	Elton John		Piano Rock, Pop Rock, Singer-Songwriter	Album	https://lastfm.freetls.fastly.net/i/u/300x300/685f7b28f47349caa3eba1dce48b2df8.png		50bac9d3-bb97-424f-8787-31e2b8fb289b	XE	42.0	10.0	
Don't You Fake It	The Red Jumpsuit Apparatus		Pop Punk, Emo-Pop, Post-Hardcore, Emo-Pop	Album	https://lastfm.freetls.fastly.net/i/u/300x300/82698b70482fa952b5c83acea2595285.jpg		76360728-22dd-4c57-86d2-481b4a2e88fc	US	44.0	12.0	
Don't You Feel Amazing?	Trash Boat		Alternative Rock, Alternative Metal, Hard Rock, Post-Hardcore	Album	https://lastfm.freetls.fastly.net/i/u/300x300/63307c68fd22b57d761ccd67ee6c9a96.jpg		fac87063-c4b0-4f72-bbde-69a8a781d4ea	XW	42.0	13.0	
Dookie	Green Day	1994.0	Pop Punk, Punk Rock, Alternative Rock	Album	https://i.scdn.co/image/ab67616d0000b273db89b08034de626ebee6823d	https://open.spotify.com/album/4uG8q3GPuWHQlRbswMIRS6	d7830834-763c-4223-8a82-678cc0c4e7f1	US	38.016666666666666	14.0	4uG8q3GPuWHQlRbswMIRS6
Doolittle	Pixies	1989.0	Indie Rock, Alternative Rock, Noise Pop, Surf Rock, Slacker Rock	album	https://i.scdn.co/image/ab67616d0000b273cafe9404f872e4c0e91a8cc8	https://open.spotify.com/album/0DQyTVcDhK9wm0f6RaErWO	67073980-9a62-4fef-b5c0-4b5bd9d2d9ed	XW	38.5	15.0	0DQyTVcDhK9wm0f6RaErWO
Doom II	Witnesses	2020.0	Doom Metal	album	https://i.scdn.co/image/ab67616d0000b273e06632104fc428e936d956b1	https://open.spotify.com/album/2F2bb31SEOnVwqlhPc0Yau	f84214cc-4751-456e-9f90-9ff18bfe2069	XW	77.3	21.0	2F2bb31SEOnVwqlhPc0Yau
Doom Side of the Moon	Doom Side of the Moon	2017.0	Progressive Rock, Art Rock, Stoner Rock	Album	https://i.scdn.co/image/ab67616d0000b273f558c4d4d659bb572e84baff	https://open.spotify.com/album/3i32lYJBZv3YOR1oS16U6S	a7677c30-97fd-4819-ab91-fb7cab8796a4	US	38.0	10.0	3i32lYJBZv3YOR1oS16U6S
Doomed Heavy Metal	Khemmis	2020.0	Doom Metal, Heavy Metal	album	https://i.scdn.co/image/ab67616d0000b2737e4f1b7495fe62d48445d44b	https://open.spotify.com/album/6VTtYJ1gXCbSqAa730Gw7O	9ba90e41-c12d-45a7-a3ea-18f8d6f355b9	XW	38.0	6.0	6VTtYJ1gXCbSqAa730Gw7O
Door 218	Balance Interruption		Industrial Metal, Black Metal, Avant-Garde Metal, Technical Death Metal, Electronic	Album	https://lastfm.freetls.fastly.net/i/u/300x300/baf3418824b4916da49e765e20dea298.jpg	https://open.spotify.com/album/5lr3U8aSQpZTnLIe7i9M4D	7b08344e-def8-42a6-857b-eeaf635a9550	RU	5.0	8.0	5lr3U8aSQpZTnLIe7i9M4D
Dopesmoker	Sleep	2022.0	Stoner Metal, Doom Metal, Drone Metal	album	https://i.scdn.co/image/ab67616d0000b27312ebc3ec10f72974ab2116e1	https://open.spotify.com/album/4igTVyMjcnj2Wv29NZAa3Q	cc248c1a-2f58-4904-adba-a6b5af7520a3	XW	63.0	1.0	4igTVyMjcnj2Wv29NZAa3Q
Doppelganger	The Fall of Troy	2005.0	Post-Hardcore, Math Rock, Progressive Rock, Mathcore, Math Rock, Sasscore, Swancore	album	https://i.scdn.co/image/ab67616d0000b27362f0f15dfc1cec391dfe577c	https://open.spotify.com/album/4yGGtM3VghcKn4dPYZ2xFE	d06e1acf-4d2e-41e6-8f97-621adbc42e77	XW	44.0	11.0	4yGGtM3VghcKn4dPYZ2xFE
Dosage	Collective Soul	1999.0	Pop Rock, Alternative Rock, Post-Grunge, Post-Grunge, Alternative Dance	Single	https://i.scdn.co/image/ab67616d0000b273e1cc5c7c11eaa1dbbc2da6f3	https://open.spotify.com/album/5YcqcN9ZyZIS2vYYT4WC66	ac221135-570a-4e4a-9442-6baa6fb641b4	CA	50.0	11.0	5YcqcN9ZyZIS2vYYT4WC66
Dose Again	Arise In Stability	2020.0	Metalcore, Progressive Metal, Melodic Death Metal, Deathcore	Album	https://i.scdn.co/image/ab67616d0000b2739429fe895a27e7f2792fbc0b	https://open.spotify.com/album/1N4kg5QugeBafasOfHFfzp	c9ddfb63-47e9-4719-ab99-872fff4b3046	XW	61.0	10.0	1N4kg5QugeBafasOfHFfzp
Double Album	NOFX	2022.0	Skate Punk, Punk Rock	album	https://i.scdn.co/image/ab67616d0000b273a7d036d09c2cc647af895e34	https://open.spotify.com/album/4mJ4PBk5yHl3xuyHkly85n	b61030ef-6361-4250-b951-13d7491a5615	XW	27.081316666666662	10.0	4mJ4PBk5yHl3xuyHkly85n
Down Below	Tribulation	2018.0	Gothic Metal, Heavy Metal, Melodic Black Metal, Black 'n' Roll	album	https://i.scdn.co/image/ab67616d0000b273954b364df7932f2775421779	https://open.spotify.com/album/3W0Attfc9hO9Vb03ngDn2k	46b6e7e3-5a6a-4b53-a1a4-a75ecc2aa6f9	XE	50.0	10.0	3W0Attfc9hO9Vb03ngDn2k
Down in a Hole	Khemmis		Doom Metal, Grunge	Single	https://lastfm.freetls.fastly.net/i/u/300x300/34fe7508f6a6bd5a83064086cdf1b27a.jpg		c66d27cb-011a-4d07-828c-59fb74c56bb8	XW	6.0	1.0	
Downpour	Kanaan	2023.0	Heavy Psych, Stoner Rock, Space Rock	album	https://i.scdn.co/image/ab67616d0000b273f344ae59d2be93718a44fbfa	https://open.spotify.com/album/4qxAYQ5smkYUFntAloHkrr	b54438ee-750a-41f7-abed-c6909863e737	XW	40.0	7.0	4qxAYQ5smkYUFntAloHkrr
Downward Is Heavenward	Hum	1998.0	Alternative Rock, Post-Hardcore, Shoegaze, Space Rock Revival, Space Rock, Alternative Metal	album	https://i.scdn.co/image/ab67616d0000b273d8b8a56e7eb2501765bb945e	https://open.spotify.com/album/2qoEiffsxqSGmjBoGVWG15	f80b5d0d-759a-46e2-b6dc-ae0db7d758c8	CA	52.0	10.0	2qoEiffsxqSGmjBoGVWG15
Dr. Feelgood	Mötley Crüe	1989.0	Glam Metal, Hard Rock, Heavy Metal	album	https://i.scdn.co/image/ab67616d0000b27357338231dc4a85d5aed03186	https://open.spotify.com/album/23krn1eEy7o3u9laLI1PLD	d43af882-7018-4c7e-b3ab-d1ce06feb9a0	US	67.0	16.0	23krn1eEy7o3u9laLI1PLD
Dragon New Warm Mountain I Believe in You	Big Thief	2022.0	Indie Folk, Folk Rock, Americana, Indie Rock, Alt-Country, Singer-Songwriter, Neo-Psychedelia	Album	https://i.scdn.co/image/ab67616d0000b27366f96f9905972982d2ab45d4	https://open.spotify.com/album/7Ln81p86r5cCsesd3KBWIY	e62d86f9-b110-4923-9536-56444ef6d829	XW	80.0	20.0	7Ln81p86r5cCsesd3KBWIY
Draw	Matthew Jay	2001.0	Britpop, Indie Pop, Singer-Songwriter, Post-Britpop, Indie Folk	album	https://i.scdn.co/image/ab67616d0000b2738ce550b85cac67ea4414cf1e	https://open.spotify.com/album/3hSzxUSo5NKaDiRLWEVIdB	3c643394-fcf5-4157-b39d-dbe6a9a6788c	US	44.0	11.0	3hSzxUSo5NKaDiRLWEVIdB
Drawn	Tig Notaro	2022.0		album	https://i.scdn.co/image/ab67616d0000b273156caae9f7e414d343c9793d	https://open.spotify.com/album/67QD4ExXgMnz77MYYyGM8u	a1d62415-3165-4672-84a5-026f07f53b2a	US	53.47775	17.0	67QD4ExXgMnz77MYYyGM8u
Dream Nails	Dream Nails	2020.0	Riot Grrrl, Pop Punk, Garage Rock	Single	https://i.scdn.co/image/ab67616d0000b273453b838e786d8f30610a4c4a	https://open.spotify.com/album/6QXxOZNDngKIYagFOLC9uc	62f86292-5dda-4caf-ba24-a284893e65de	XW	24.0	15.0	6QXxOZNDngKIYagFOLC9uc
Dream Soda	Demob Happy	2015.0	Grunge, Stoner Rock, Hard Rock	Single	https://i.scdn.co/image/ab67616d0000b273a8df2554e041483b85f3a370	https://open.spotify.com/album/7G0Cder7CLeokx3ZomvP82	7259c3cf-6bd9-44fe-8dc0-ec16466bdbba	GB	49.0	12.0	7G0Cder7CLeokx3ZomvP82
Dream Squasher	16	2020.0	Sludge Metal, Doom Metal	Album	https://i.scdn.co/image/ab67616d0000b2734bc022c6960edddd7a48dd04	https://open.spotify.com/album/3xWbfhKxXeHM5dy9qtkbEE	d1b7bd6f-eefb-4306-8f54-21dee0bde8d7	XW	42.0	10.0	3xWbfhKxXeHM5dy9qtkbEE
Dream Theater	Dream Theater	2023.0	Progressive Metal, Progressive Rock, Symphonic Metal	Album	https://i.scdn.co/image/ab67616d0000b273e05fdb9711d027cb9c5dc347	https://open.spotify.com/album/0wh1M4uklCCvm57Mot63ll	26d5a171-440f-4276-a73e-79e6b7815405	XE	68.0	9.0	0wh1M4uklCCvm57Mot63ll
Dream Weapon	Genghis Tron	2021.0	Math Rock, Progressive Metal, Electronic, Post-Metal, Space Rock	Album	https://i.scdn.co/image/ab67616d0000b2738b248df1f236c13babdd3903	https://open.spotify.com/album/3ngwSRokoZYcPywWbpzVfi	d7990218-237b-4fb7-a1e2-740551282db2	US	45.0	8.0	3ngwSRokoZYcPywWbpzVfi
Dream Wife	Dream Wife	2018.0	Riot Grrrl, Alternative Rock, Queercore, Indie Pop	Album	https://i.scdn.co/image/ab67616d0000b273ac3d48c206f28f90bb1d9a9c	https://open.spotify.com/album/2aR4Hvd9ePHgGE4SFbNZZb	6093dbd4-40a3-442d-a21b-1e9b899a8960	XW	34.0	11.0	2aR4Hvd9ePHgGE4SFbNZZb
Dreamer	Pray for Sound	2014.0	Post-Rock	album	https://i.scdn.co/image/ab67616d0000b27360a4390945a0ce5b4a9325a7	https://open.spotify.com/album/1faB36WLHliVa6xqjzTtcu	ded486b5-b1a8-4606-9934-5141e39f6908	US	33.0	7.0	1faB36WLHliVa6xqjzTtcu
Dreamers	Graveyard Lovers	2013.0	Alternative Rock	Album	https://i.scdn.co/image/ab67616d0000b2738cb396118edc2a97b1057452	https://open.spotify.com/album/4563eGZigWMCboYtfz8w1g	4c491ecc-320d-4810-9a8e-0e4b98474dab	XW	45.0	11.0	4563eGZigWMCboYtfz8w1g
Dreamers. Dreaming	Quaoar	2015.0	Progressive Rock, Grunge	album	https://i.scdn.co/image/ab67616d0000b27375ad071d77fcf82b0d0193de	https://open.spotify.com/album/2plQuu5uHMGcEHPilMy88Z	a6ffe3c7-d382-4c42-bd35-0b4eb7a3a49e	ES	67.0	10.0	2plQuu5uHMGcEHPilMy88Z
Dreamglow	Asian Glow	2023.0	Shoegaze, Post-Hardcore, Screamo, Noise Rock, Emo, Blackgaze, Post-Metal	Album	https://i.scdn.co/image/ab67616d0000b273cbe148a62bafca65382780f7	https://open.spotify.com/album/6a0tgi6bVTOfyMoFRwxgEX	9ec649a1-4126-4047-9e30-651f31fae21e	KR	38.0	7.0	6a0tgi6bVTOfyMoFRwxgEX
Dreaming In Black And White	TRUSTcompany	2011.0	Alternative Rock, Alternative Metal, Nu Metal, Post-Grunge, Emo-Pop	album	https://i.scdn.co/image/ab67616d0000b273711a752d7e58366de8cdfa60	https://open.spotify.com/album/3C8hhVBBEGZdqPOHXFv255	e4b3c619-658e-4caa-b767-d5e1b01af5bb	US	48.0	13.0	3C8hhVBBEGZdqPOHXFv255
Dreamkiller	Sumerlands	2022.0	US Power Metal, Heavy Metal	album	https://i.scdn.co/image/ab67616d0000b27351121df01df3a7385a8f7676	https://open.spotify.com/album/12Yv3UWaeM3DpJT1TEnbei	6460e94d-c349-4cdc-a228-e4b09a0a0bc9	XW	35.000733333333336	8.0	12Yv3UWaeM3DpJT1TEnbei
Dreams	DRACULA TEETH	2022.0		Album	https://i.scdn.co/image/ab67616d0000b273c49cb4a262440d9af63d2c00	https://open.spotify.com/album/3Ir0sYKpQLC5pFOn2xpQ0F	310618a9-b1d4-4f44-8ae8-5edbae449036	CA	42.91666666666666	10.0	3Ir0sYKpQLC5pFOn2xpQ0F
Dressed To Kill	Kiss	1975.0	Hard Rock, Glam Rock	album	https://i.scdn.co/image/ab67616d0000b27365a7b0a6969f0efcde4b5aca	https://open.spotify.com/album/1YCC4oZXg2zGn7pVSKVlGF	1f9edeae-0f7e-488d-9711-a5adab6c5e20	US	30.389333333333333	10.0	1YCC4oZXg2zGn7pVSKVlGF
Drift	Pianos Become the Teeth	2022.0	Indie Rock, Emo, Post-Rock, Post-Punk Revival	album	https://i.scdn.co/image/ab67616d0000b273e74c58be3a9c43a343eedb58	https://open.spotify.com/album/4Pkz9WW6kL37MqEEufLxfa	36e5c4b6-29fd-49e2-a9cd-73c9ce69a967	XW	36.0	10.0	4Pkz9WW6kL37MqEEufLxfa
Drift Stage, Vol. 1	Myrone	2016.0	Synthwave, Video Game Music	album	https://i.scdn.co/image/ab67616d0000b273318904d79690823828c30ec7	https://open.spotify.com/album/0liuIOHGMTLVNIVJ4ZCXnY	d752c962-e6c6-4e1c-82c3-e54ecd2c46e8	XW	38.0	11.0	0liuIOHGMTLVNIVJ4ZCXnY
Drifting in the Endless Void	Dozer	2023.0	Stoner Metal, Stoner Rock	Album	https://i.scdn.co/image/ab67616d0000b2731e75965b4f0b72dfbd22f4d4	https://open.spotify.com/album/4mLQihycmN3yjMepyQopVV	fe1698b9-0fb9-42bc-9240-a626295799c8	US	42.0	8.0	4mLQihycmN3yjMepyQopVV
Driver	Adult Mom		Indie Pop, Singer-Songwriter, Indie Rock, Bedroom Pop	Album	https://lastfm.freetls.fastly.net/i/u/300x300/e788577c7165d1501e3aa1a2b704016c.jpg	https://open.spotify.com/album/5JiEqd3d0AfZdnMFrf37zE	0e7e3201-509c-4a28-9cf3-ce1a1ee220e1	XW	30.0	10.0	5JiEqd3d0AfZdnMFrf37zE
Driving Far Away	New Avenues	2022.0	Indie Pop, Dream Pop	single	https://i.scdn.co/image/ab67616d0000b2732730292ed17381f81ef39ce5	https://open.spotify.com/album/4fHR7mOJkTv360dQxltrto			12.0		4fHR7mOJkTv360dQxltrto
Drops of Jupiter	Train	2001.0	Pop Rock, Alternative Rock	album	https://i.scdn.co/image/ab67616d0000b273a65df73c4011b6a9357c89f0	https://open.spotify.com/album/6j6Zgm7vzAZegr48UppFVT	fc4670c3-8051-4bd7-b564-cd61043f5434	GB	60.0	13.0	6j6Zgm7vzAZegr48UppFVT
Drowned	Barús	2018.0	Progressive Metal, Technical Death Metal, Dissonant Death Metal, Atmospheric Sludge Metal	Album	https://i.scdn.co/image/ab67616d0000b27370ab49b77f0df6354bfc8e60	https://open.spotify.com/album/1ptDoQ96jrZhUHUXugE7Tf	85cbf01f-6702-4b8f-821b-01e7eb7cc001	XW	54.0	9.0	1ptDoQ96jrZhUHUXugE7Tf
Drunk Tank Pink	Shame	2021.0	Post-Punk, Art Punk, Post-Hardcore, Dance-Punk, Indie Rock	album	https://i.scdn.co/image/ab67616d0000b273116545e67368516a89b0609c	https://open.spotify.com/album/07FItTfHsxADQ4sLDxqgFA	13ebdcb5-2b4c-48d8-94b4-3d9e36cf36df	GB	51.0	14.0	07FItTfHsxADQ4sLDxqgFA
Drunken Lullabies	Flogging Molly	2002.0	Celtic Punk, Celtic Folk Music, Irish Folk Music, Celtic Rock	Album	https://i.scdn.co/image/ab67616d0000b27320195c851e88b96e21181de4	https://open.spotify.com/album/7EtBU4Uen8tfOq0Ah9tqz3	ee03214b-2b96-4488-9d99-b468a7462f77	XE	45.0	12.0	7EtBU4Uen8tfOq0Ah9tqz3
Dua Lipa	Dua Lipa	2017.0	Electropop, Contemporary R&B, Dance-Pop, Synthpop, Alt-Pop	Single	https://i.scdn.co/image/ab67616d0000b2736b915e407b70e121e06fe979	https://open.spotify.com/album/01sfgrNbnnPUEyz6GZYlt9	10b7ac15-19e8-44e4-830a-b22a4c04cb4e	JP	68.0	19.0	01sfgrNbnnPUEyz6GZYlt9
Dua Naga	RINUWAT	2021.0	Post-Metal, Gamelan, Ritual Ambient	album	https://i.scdn.co/image/ab67616d0000b273373edde63736f1afc27017a1	https://open.spotify.com/album/2nILNLUQ7vpdeSqW6bUv29	7130a332-85fa-40c9-bbb4-2ae0f3d0b7ca	XW	38.0	7.0	2nILNLUQ7vpdeSqW6bUv29
Duality	Set It Off	2014.0	Pop Rock, Alt-Pop	album	https://i.scdn.co/image/ab67616d0000b273eef2f969585ecd89a33564c6	https://open.spotify.com/album/4mPWTksMsByAvomErPtJwK	98fa3dd8-4af6-4414-8190-459bac28c758	XW	37.0	11.0	4mPWTksMsByAvomErPtJwK
Duck Stab	The Residents	2016.0	Experimental Rock, Art Pop, Zolo, Minimal Wave	album	https://i.scdn.co/image/ab67616d0000b27318a82c011a8dfbac417425b3	https://open.spotify.com/album/0PEMxmj2m6pLKoqYR0WtzW	2ed41974-9d2e-3758-bb81-a7e44025ac3c	DE	34.0	14.0	0PEMxmj2m6pLKoqYR0WtzW
Duel	Onségen Ensemble	2018.0	Progressive Rock, Space Rock, Post-Rock, Psychedelic Rock	album	https://i.scdn.co/image/ab67616d0000b273e70f35b0c407f08bfaec0927	https://open.spotify.com/album/0WaJ4yj2HzxLiPXMQAIWzZ	47ea5080-54e1-4597-a293-5c3db3b1b535	XW	42.0	5.0	0WaJ4yj2HzxLiPXMQAIWzZ
Duende	The Great Discord	2015.0	Progressive Metal, Progressive Rock	album	https://i.scdn.co/image/ab67616d0000b2732ec48b6c0a616fefb97b8dd1	https://open.spotify.com/album/3R0dvRWuJnbxyRjL23PtNI	983ad6a4-1c9c-4b27-8051-5a29512afe42	DE	48.0	10.0	3R0dvRWuJnbxyRjL23PtNI
Duets	Barbra Streisand		Vocal Jazz, Standards	Album	https://lastfm.freetls.fastly.net/i/u/300x300/2cf0bee5877b4aa7b009ec412e480b1d.jpg	https://open.spotify.com/album/4JpntKV9S08fzohdRL8aAK	cbd76c1b-e55f-45d1-8a81-821035ed9caf	CO	77.0	19.0	4JpntKV9S08fzohdRL8aAK
Duff's Groove	NOON	2018.0		single	https://i.scdn.co/image/ab67616d0000b273c3f5b3e31fa3f14cc676e5fc	https://open.spotify.com/album/2mc7JGeXCAIZ73RaQlv3j6	3d75b78c-9acb-4d67-964f-e619ff80337e	JP	40.0	12.0	2mc7JGeXCAIZ73RaQlv3j6
Duma	Atumatu	2018.0	Art Rock, Post-Rock, Progressive Rock, Electronic, Psychedelic Rock	Album	https://i.scdn.co/image/ab67616d0000b2730eea7b9574fe4f9c908bfb59	https://open.spotify.com/album/7KqwxgHGWX0al03xTOEo9N	fe7565ea-f3f7-493d-8f83-6bafd1d4e33d	XW	37.71666666666667	9.0	7KqwxgHGWX0al03xTOEo9N
Dun Pageant	Seed	2021.0	Doom Metal, Post-Rock, Post-Metal, Slowcore, Gothic Metal	album	https://i.scdn.co/image/ab67616d0000b273cc46efb7dd61299fcc99801c	https://open.spotify.com/album/2Hn3MsXh6WZjTit2Qrw7Z2	9ef5459f-869e-4545-9a58-588b9a3c9a44	XW	54.0	11.0	2Hn3MsXh6WZjTit2Qrw7Z2
Duran Duran [The Wedding Album]	Duran Duran		New Romantic, New Wave, Synthpop, Post-Punk	Album	https://lastfm.freetls.fastly.net/i/u/300x300/f72910c2f99f43368d61b70d20fc1935.jpg		943fd684-a45c-47f6-b4da-3ca422629baf	GB	62.0	13.0	
Dust	Tremonti	2016.0	Hard Rock, Alternative Metal, Thrash Metal, Heavy Metal, Groove Metal	album	https://i.scdn.co/image/ab67616d0000b27397dcde7fe539a7a9cbd43c4c	https://open.spotify.com/album/2kGJd0xmtOosNBmLTNGRDD	a8308d57-92d3-400d-a313-532214c8c0de	US	43.0	10.0	2kGJd0xmtOosNBmLTNGRDD
Dust and Disquiet	Caspian	2015.0	Post-Rock, Post-Metal	Album	https://i.scdn.co/image/ab67616d0000b2737b7ff520290901222948849e	https://open.spotify.com/album/2m4KwsPpsNAenV6ImBv71I	2f69c91e-194f-4340-9d5c-ddb6495df528	DE	56.0	10.0	2m4KwsPpsNAenV6ImBv71I
Dvorak - New World Symphony	London Philharmonic Orchestra	2018.0		album	https://i.scdn.co/image/ab67616d0000b2733a819b3c405bf9c2b44ec8da	https://open.spotify.com/album/0CLnqv8sf1cX0i8R1IXhGM	406d5a8b-516c-406e-bc98-d89b3aacb85a	RU	72.1429	10.0	0CLnqv8sf1cX0i8R1IXhGM
Dwellers of the Deep	Wobbler	2020.0	Symphonic Prog, Progressive Rock, Progressive Folk	album	https://i.scdn.co/image/ab67616d0000b273bbf6efe36363b9305cb13b27	https://open.spotify.com/album/0aOupcoxV0EXjLfoHXqb2o	db32822c-27f6-4d1f-8775-df9513c04a9a	XW	45.0	4.0	0aOupcoxV0EXjLfoHXqb2o
Dykes To Watch Out For	Dump Him	2019.0	Queercore, Pop Punk, Indie Rock, Power Pop, Emo	Single	https://i.scdn.co/image/ab67616d0000b273af02e3a5cf9dd17ce92b89f1	https://open.spotify.com/album/3moMMeN7xMGuPXgvX0VziL	c198e57f-8330-4231-b52d-a1c0096ea566	XW	23.0	10.0	3moMMeN7xMGuPXgvX0VziL
Dynamo	A Notion of Silence	2018.0	Progressive Metal	Album	https://i.scdn.co/image/ab67616d0000b27351110678cbeccb424bb9c468	https://open.spotify.com/album/7bzAT6bFXJabiKmio1h0ZV	caf74140-97ef-45e0-88ca-2f3ac7b8a201	US	49.0	9.0	7bzAT6bFXJabiKmio1h0ZV
Dysfunction	Staind	1999.0	Alternative Metal, Nu Metal, Post-Grunge	album	https://i.scdn.co/image/ab67616d0000b273f34b698931828b54bceb52f9	https://open.spotify.com/album/4fLp0YBi1chfMHSBkIeI6w	49025cb8-6454-4814-a6aa-128388c12c83	US	44.0	10.0	4fLp0YBi1chfMHSBkIeI6w
Dystopia	Megadeth	2016.0	Thrash Metal, Heavy Metal	album	https://i.scdn.co/image/ab67616d0000b273db38819ff1e73809f8be6107	https://open.spotify.com/album/4sP7CAPrmdBD1ojBBrPxiV	2f7cfa70-ed10-4e4a-a8f7-a7c4d864e8b3	US	50.0	12.0	4sP7CAPrmdBD1ojBBrPxiV
